Segment..Segment_set;Segment..Segment_nature;Complex..ComplexID;ClauseID;ClauseID_text;Clause;Embedded_count;Agent;Process;Medium;Range;Beneficiary;sequence;Agent_presence;Process_presence;Medium_presence;Range_presence;Beneficiary_presence
SetA;naturally occurring;72_1; 7211;72_1_1;Na imunidade adquirida (adaptativa ou específica) ( Imunidade adquirida), os linfócitos (células B e células T) se deparam com um invasor,;0;os linfócitos (células B e células T);se deparam;com um invasor;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;72_1; 7212;72_1_2;aprendem a atacá-lo,;0;[^os linfócitos (células B e células T)];aprendem a atacá;-lo;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;73_1; 7311;73_1_1;Os fagócitos ingerem os invasores.;0;Os fagócitos;ingerem;os invasores;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;74_1; 7413;74_1_3;e são ingeridos.;0;;são ingeridos;[^a maioria dos glóbulos brancos];;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;75_1; 7511;75_1_1;As pessoas normalmente apresentam infecções frequentes, atípicas ou incomumente graves ou prolongadas;0;;apresentam;As pessoas;infecções frequentes, atípicas ou incomumente graves ou prolongadas;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;77_1; 7711;77_1_1;A ataxia-telangiectasia é uma doença hereditária [[caracterizada por descoordenação motora, dilatação capilar e uma imunodeficiência que causa uma suscetibilidade aumentada às infecções]];1;;é;A ataxia-telangiectasia;uma doença hereditária [[caracterizada por descoordenação motora, dilatação capilar e uma imunodeficiência que causa uma suscetibilidade aumentada às infecções]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;78_1; 7811;78_1_1;As concentrações de alguns tipos (classes) de anticorpos (imunoglobulinas) – IgA e IgE – são frequentemente baixas.;0;;são;As concentrações de alguns tipos (classes) de anticorpos (imunoglobulinas) – IgA e IgE –;baixas;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;79_1; 7911;79_1_1;O sistema endócrino pode ser afetado,;0;;pode ser afetado;O sistema endócrino;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;80_1; 8011;80_1_1;As infecções pulmonares e dos seios nasais reaparecem,;0;;reaparecem;As infecções pulmonares e dos seios nasais;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;81_1; 8113;81_1_3;para confirmar esses distúrbios.;0;;confirmar;esses distúrbios;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;82_1; 8212;82_1_2;os médicos administram antibióticos e imunoglobulinas (anticorpos [[obtidos do sangue de pessoas com um sistema imunológico normal]]),;1;os médicos;administram;antibióticos e imunoglobulinas (anticorpos [[obtidos do sangue de pessoas com um sistema imunológico normal]]);;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;83_1; 8311;83_1_1;A reflexão da luz é um fenômeno óptico [[que ocorre quando a luz incide sobre uma superfície e retorna ao seu meio de origem]];1;;é;A reflexão da luz;um fenômeno óptico [[que ocorre quando a luz incide sobre uma superfície e retorna ao seu meio de origem]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;84_1; 8411;84_1_1;Condução: é a transferência de energia [[que ocorre de molécula a molécula em razão da agitação delas]];1;;é;Condução;a transferência de energia [[que ocorre de molécula a molécula em razão da agitação delas]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;85_2; 8523;85_2_3;ela começará a aquecer.;0;;começará a aquecer;ela;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;87_1; 8712;87_1_2;visto que alguns conduzem mais energia térmica que outros.;0;alguns;conduzem;mais energia térmica que outros.;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;88_1; 8812;88_1_2;que são bons condutores de calor.;0;;são;[^metais];bons condutores de calor.;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;92_1; 9211;92_1_1;Por exemplo: na geladeira os alimentos são resfriados dessa forma.;0;;são resfriados;os alimentos;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;97_1; 9711;97_1_1;[^Na] Irradiação: [^,] ao contrário dos processos de condução e convecção [[que necessitam de um meio material para a transferência de calor,]] a irradiação é o processo [[que pode acontecer sem que exista meio material]];2;;é; a irradiação;o processo [[que pode acontecer sem que exista meio material]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;99_1; 9911;99_1_1;Em física, corrente elétrica é o movimento ordenado de partículas [[portadoras de cargas elétricas]].;1;;é;corrente elétrica;o movimento ordenado de partículas portadoras de cargas elétricas.;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;102_1;10211;102_1_1;Eletrodinâmica: estuda cargas elétricas em movimento,;0;Eletrodinâmica;estuda;cargas elétricas em movimento,;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;105_1;10511;105_1_1;Eletromagnetismo: estuda a relação da eletricidade com a capacidade [[de atrair e reprimir polos]].;1;Eletromagnetismo;estuda;a relação da eletricidade com a capacidade de atrair e reprimir polos.;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;106_1;10613;106_1_3;esses elétrons inicialmente livres e desordenados iniciam um movimento ordenado e em um sentido - a corrente elétrica.;0;esses elétrons inicialmente livres e desordenados;iniciam;um movimento ordenado e em um sentido - a corrente elétrica;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;107_1;10711;107_1_1;Bem, então se conseguirmos fazer com algum material condutor um caminho [[para os elétrons percorrerem]];1;;conseguirmos fazer;um caminho para os elétrons percorrerem;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;111_1;11111;111_1_1;Na corrente contínua as cargas elétricas [[que a constituem]] se movimentam apenas num sentido, ou seja, do pólo positivo da fonte de tensão para o pólo negativo, chamado de sentido convencional.;1;as cargas elétricas [[que a constituem]];se movimentam;apenas num sentido, ou seja, do pólo positivo da fonte de tensão para o pólo negativo, chamado de sentido convencional.;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;112_1;11211;112_1_1;(corrente alternada) Nesse tipo de corrente as cargas elétricas ficam oscilando em um sentido e em outro.;0;as cargas elétricas;ficam oscilando;;em um sentido e em outro;;Agent_Process_Range;1;1;0;1;0
SetA;naturally occurring;113_1;11311;113_1_1;Efeito Joule ou lei de Joule é um fenômeno da física [[que resulta na transformação de energia elétrica em energia térmica (calor)]];1;;é;Efeito Joule ou lei de Joule;um fenômeno da física [[que resulta na transformação de energia elétrica em energia térmica (calor)]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;115_1;11511;115_1_1;Por vezes, o uso de corticosteroides e a remoção do baço (esplenectomia) aliviam os sintomas temporariamente.;0;o uso de corticosteroides e a remoção do baço (esplenectomia);aliviam;os sintomas temporariamente;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;119_1;11911;119_1_1;Ela é herdada como uma doença autossômica recessiva.;0;;é herdada;Ela;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;120_1;12011;120_1_1;Em bebês gravemente afetados, as infecções se desenvolvem nos tecidos moles como gengivas, pele e músculos.;0;as infecções;se desenvolvem;;;;Agent_Process;1;1;0;0;0
SetA;naturally occurring;123_1;12311;123_1_1;O calor é um tipo de energia [[que pode ser transferido de um corpo para o outro quando há diferença de temperatura entre eles]];1;;é;O calor;um tipo de energia [[que pode ser transferido de um corpo para o outro quando há diferença de temperatura entre eles]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;124_1;12411;124_1_1;A terapia genética para esta doença está sendo estudada.;0;A terapia genética para esta doença;está sendo estudada;;;;Agent_Process;1;1;0;0;0
SetA;naturally occurring;127_1;12712;127_1_2;que quando há aumento na temperatura de um corpo;0;;há;aumento na temperatura de um corpo;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;130_1;13011;130_1_1;A hipnose é um método [[que altera o estado de consciência de indivíduos que se mostra simultâneo ao estado natural quando esse se encontra problemático em alguma parte do seu psicológico]];1;;é;A hipnose;um método [[que altera o estado de consciência de indivíduos que se mostra simultâneo ao estado natural quando esse se encontra problemático em alguma parte do seu psicológico]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;131_1;13112;131_1_2;que agorafobia é o medo [[de estar em locais públicos ou no meio da multidão, por exemplo]];1;;é;agorafobia;o medo [[de estar em locais públicos ou no meio da multidão, por exemplo]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;134_1;13411;134_1_1;A deficiência mental é classificada como um conjunto de problemas [[que afeta o intelecto de um indivíduo,]];1;A deficiência mental;é classificada;como um conjunto de problemas [[que afeta o intelecto de um indivíduo,]];;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;134_1;13412;134_1_2;porém não altera as demais funções do cérebro;0;;altera;[^a deficiência mental];as demais funções do cérebro;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;135_1;13513;135_1_3;[Auto-estima] É a capacidade [[que a pessoa tem de respeitar, confiar e gostar de si]].;1;;é;Auto-estima;a capacidade [[que a pessoa tem de respeitar, confiar e gostar de si]].;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;136_1;13611;136_1_1;A auto-estima baixa pode ocasionar problemas psicológicos, como depressão, ansiedade,;0;A auto-estima baixa;pode ocasionar;problemas psicológicos, como depressão, ansiedade,;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;137_1;13712;137_1_2;o que provoca delírios e alucinações.;0;o que ;provoca;delírios e alucinações.;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;140_1;14011;140_1_1;A Mecânica é o ramo da Física [[responsável pelo estudo do movimento]];1;;é;A Mecânica;o ramo da Física responsável pelo estudo do movimento;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;142_1;14211;142_1_1;As ondas eletromagnéticas resultam da combinação de um campo elétrico e de um magnético [[que se propagam no espaço]];1;;resultam;As ondas eletromagnéticas;da combinação de um campo elétrico e de um magnético [[que se propagam no espaço]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;144_1;14411;144_1_1;A trajetória é considerada o espaço das posições [[ocupado por um corpo que se move]];1;;é considerada;A trajetória;o espaço das posições ocupado por um corpo que se move.;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;145_1;14511;145_1_1;A regressão é uma técnica defensiva da psique [[que tem como objetivo retornar ao ponto anterior a determinado evento traumático]];1;;é;A regressão;uma técnica defensiva da psique [[que tem como objetivo retornar ao ponto anterior a determinado evento traumático]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;146_1;14611;146_1_1;Espaço é a posição [[onde se encontra o móvel em determinado instante]], em relação a um dado referencial;1;;é;Espaço;a posição onde se encontra o móvel em determinado instante, em relação a um dado referencial.;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;148_1;14811;148_1_1;É chamado de referencial o corpo [[em relação ao qual se identifica se o móvel em estudo está em movimento ou em repouso]].;1;;É chamado;o corpo em relação ao qual se identifica se o móvel em estudo está em movimento ou em repouso;de referencial;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;150_1;15011;150_1_1;Móvel é qualquer matéria [[que se desloca em relação a um ponto de referência]];1;;é;Móvel;qualquer matéria [[que se desloca em relação a um ponto de referência]];;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;152_1;15212;152_1_2;sendo que o corpo [[que exerce a força]] não se encontra em contato os outros [...];1;;se encontra;o corpo [[que exerce a força]] ;em contato os outros [...];;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;153_1;15311;153_1_1;A fecundação é a fusão dos materiais dos núcleos de dois gametas [[que dá lugar a formação de um zigoto, o embrião]];1;;é;A fecundação;a fusão dos materiais dos núcleos de dois gametas [[que dá lugar a formação de um zigoto, o embrião]];;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;154_1;15411;154_1_1;Mutação é uma alteração súbita e herdável na estrutura do material genético.;0;;é;Mutação;uma alteração súbita e herdável na estrutura do material genético.;;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;155_1;15511;155_1_1;O vitiligo é uma doença cutânea [[caracterizada pela despigmentação e formação de manchas na pele]];1;;é;O vitiligo;uma doença cutânea caracterizada pela despigmentação e formação de manchas na pele.;;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;156_1;15612;156_1_2;que o vitiligo é uma doença auto-imune pela formação de anticorpos antimelanócitos.;0;;é;o vitiligo;uma doença auto-imune pela formação de anticorpos antimelanócitos.;;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;158_1;15811;158_1_1;A pareidolia consiste numa imagem (fantástica e extrojetada) criada intencionalmente a partir de percepções reais, a partir de elementos sensoriais incompletos ou imprecisos.;0;;consiste;A pareidolia;numa imagem (fantástica e extrojetada) criada intencionalmente a partir de percepções reais, a partir de elementos sensoriais incompletos ou imprecisos.;;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;159_1;15911;159_1_1;Os asteroides são corpos rochosos e metálicos [[que possuem órbita definida ao redor do Sol]];1;;são;Os asteroides;corpos rochosos e metálicos [[que possuem órbita definida ao redor do Sol]];;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;161_1;16112;161_1_2;e por isso se alimenta[^m] de seres vivos autótrofos ou de outros heterotrófos, direta ou indiretamente;0;se;alimenta[^m];de seres vivos autótrofos ou de outros heterotrófos, direta ou indiretamente;;;Agent_Process_Medium;1;1;1;0;0
SetB;naturally occurring;163_1;16311;163_1_1;A acatisia [...] é uma síndrome psicomotora [[que se manifesta pela impossibilidade de estar parado, sentado]];1;;é;A acatisia [...];uma síndrome psicomotora [[que se manifesta pela impossibilidade de estar parado, sentado]];;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;164_1;16412;164_1_2;embora em casos severos esta necessidade de movimento esteja para além do controlo voluntário.;0;;esteja;esta necessidade de movimento;para além do controlo voluntário.;;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;165_1;16511;165_1_1;Durante a mitose, os cromossomos duplicados se tornam exatamente segregados, com um conjunto para cada um dos dois núcleos separados.;0;;se tornam;os cromossomos duplicados;segregados;;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;166_1;16611;166_1_1;Por conveniência, os biólogos dividem o processo em quatro estágios: prófase, metáfase, anáfase e telófase.;0;os biólogos;dividem;o processo em quatro estágios: prófase, metáfase, anáfase e telófase.;;;Agent_Process_Medium;1;1;1;0;0
SetB;naturally occurring;168_1;16811;168_1_1;Proteínas são componentes essenciais a todas as células vivas;0;;são;Proteínas;componentes essenciais a todas as células vivas;;Process_Medium_Range;0;1;1;1;0
SetB;naturally occurring;169_1;16911;169_1_1;Quimicamente, as proteínas são polímeros de alto peso molecular (acima de 10.000), [[cujas unidades básicas são os aminoácidos, ligados entre si por ligações peptídicas]].;1;;são;as proteínas;polímeros de alto peso molecular (acima de 10.000), cujas unidades básicas são os aminoácidos, ligados entre si por ligações peptídicas.;;Process_Medium_Range;0;1;1;1;0
