TextID;Segment_nature;Segment_set;PairID;Segment;Topic;URL;URL_ID
16;naturally occurring;SetA;27;Esse processo, apesar de ser cont¡nuo, apresenta fases bem marcantes que permitem a sua divisÆo em quatro etapas: pr¢fase, met fase, an fase e tel¢fase.;Biology;http://escolakids.uol.com.br/divisao-celular.htm;20
17;naturally occurring;SetA;28;A radioterapia nada mais ‚ do que um m‚todo de radia‡Æo aplicada para o tratamento oncol¢gico de forma a destruir as c‚lulas tumorais por meio da radia‡Æo i“nica.;Biology;https://www.estudopratico.com.br/aplicacao-medicinal-da-radioterapia/;21
18;naturally occurring;SetA;35;As prote¡nas sÆo substƒncias que formam todos os seres vivos.;Biology;http://escolakids.uol.com.br/o-que-sao-proteinas.htm;24
19;naturally occurring;SetA;37;As prote¡nas sÆo formadas por mol‚culas chamadas de amino cidos, que ficam ligadas por liga‡äes conhecidas por polipept¡dicas.;Biology;http://escolakids.uol.com.br/o-que-sao-proteinas.htm;24
20;naturally occurring;SetA;38;Nas prote¡nas conjugadas, al‚m de amin cidos, existe um radical de origem nÆo pept¡dica, que ‚ denominado de grupo prost‚tico.;Biology;https://mundoeducacao.bol.uol.com.br/biologia/proteinas.htm;25
21;naturally occurring;SetA;39;As prote¡nas derivadas, por sua vez, nÆo sÆo encontradas na natureza e sÆo conseguidas gra‡as a processos de degrada‡Æo de prote¡nas simples ou conjugadas.;Biology;https://mundoeducacao.bol.uol.com.br/biologia/proteinas.htm;25
22;naturally occurring;SetA;40;DNA ‚ a sigla para  cido desoxirribonucleico, um aglomerado de mol‚culas que cont‚m o material gen‚tico dos seres vivos.;Biology;https://www.estudopratico.com.br/dna-cromossomos-genes-genoma-e-rna/;26
23;naturally occurring;SetA;41;O gineceu ‚ constitu¡do pelos carpelos, local onde ficam guardados os gametas femininos da flor.;Biology;http://escolakids.uol.com.br/composicao-da-flor.htm;27
24;naturally occurring;SetA;42;"O androceu ‚ constitu¡do pelos estames, estruturas onde se formam os grÆos de p¢len, o gameta masculino da flor;";Biology;http://escolakids.uol.com.br/composicao-da-flor.htm;27
25;naturally occurring;SetA;43;Anticorpos sÆo glicoprote¡nas, tamb‚m chamadas de imunoglobulinas, que possuem como principal fun‡Æo garantir a defesa do organismo.;Biology;http://brasilescola.uol.com.br/o-que-e/biologia/o-que-e-anticorpo.htm;28
26;naturally occurring;SetA;48;As art‚rias podem ser mais bem definidas como um grupo de vasos sangu¡neos que leva sangue do cora‡Æo para todas as partes do corpo.;Biology;http://escolakids.uol.com.br/arterias-veias-capilares.htm;31
27;naturally occurring;SetA;50;As veias podem ser definidas mais precisamente como vasos sangu¡neos que chegam ao cora‡Æo transportando sangue vindo do corpo.;Biology;http://escolakids.uol.com.br/arterias-veias-capilares.htm;31
28;naturally occurring;SetA;51;Daltonismo ‚ uma altera‡Æo da visÆo que caracteriza-se pela incapacidade de distinguir algumas cores, principalmente o verde do vermelho.;Biology;https://www.todamateria.com.br/daltonismo/;32
29;naturally occurring;SetA;53;SÆo conhecidos trˆs tipos deÿdaltonismo: Monocromacias, Dicromacias e Tricromacias An¢malas.;Biology;https://mundoeducacao.bol.uol.com.br/biologia/daltonismo.htm;34
30;naturally occurring;SetA;54;[Na] PLEIOTROPIA: Um gene condiciona ou influencia mais de uma caracter¡stica no indiv¡duo.;Biology;http://brasilescola.uol.com.br/biologia/pleiotropia-interacoes-genicas.htm;35
31;naturally occurring;SetA;55;Essa for‡a tem um poder de destrui‡Æo assustador, que pode ser visto nos dois exemplos tr gicos do uso da bomba at“mica em Hiroshima e Nagasaki. ;Physics;https://mundoeducacao.bol.uol.com.br/quimica/fissao-nuclear.htm;1
32;naturally occurring;SetA;58;Asÿenzimas de restri‡Æo, tamb‚m chamadas de endonucleases de restri‡Æo, reconhecem uma seqˆncia de bases espec¡fica na dupla-h‚lice de DNA e cortam ambas as fitas da h‚lice, em lugares determinados.;Biology;http://labs.icb.ufmg.br/lbcd/grupo2/estrutura/enzimas.html;38
33;naturally occurring;SetA;59;Quando mol‚culas iguais de DNA sÆo tratadas com as mesmas enzimas de restri‡Æo, os cortes ocorrem nos mesmos pontos, produzindo fragmentos de tamanhos tamb‚m iguais.;Biology;https://www.infoescola.com/biologia/enzimas-de-restricao/;39
34;naturally occurring;SetA;60;Aÿ1¦ [primeira] lei de Newtonÿnos diz que um objeto ir  continuar seu movimento em um trajeto cont¡nuo a nÆo ser que sofra a a‡Æo de uma for‡a externa.;Physics;https://pt.khanacademy.org/science/physics/centripetal-force-and-gravitation/centripetal-forces/a/what-is-centripetal-force;40
35;naturally occurring;SetA;61;A sinaliza‡Æo celular ‚ a forma como uma c‚lula comunica-se com outra a partir de sinais por elas emitidos.;Biology;https://mundoeducacao.bol.uol.com.br/biologia/sinalizacao-celular.htm;41
36;naturally occurring;SetA;62;O transtorno do d‚ficit de aten‡Æo com hiperatividade (TDAH), mais conhecido como dist£rbio de d‚ficit de aten‡Æo (DDA), ‚ uma condi‡Æo em que h  falta de aten‡Æo, hiperatividade e/ou impulsividade.;Psychology;https://mundoestranho.abril.com.br/saude/o-que-e-disturbio-de-deficit-de-atencao/;42
37;naturally occurring;SetA;64;Nas crian‡as sem c‚lulas T, a doen‡a ‚ fatal a nÆo ser que seja feito um transplante de timo. ;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/doen%C3%A7as-decorrentes-de-imunodefici%C3%AAncia/s%C3%ADndrome-de-digeorge;43
38;naturally occurring;SetA;65;Oÿtranstorno obsessivo compulsivoÿ(TOC) caracteriza-se por dois tipos de manifesta‡äes: as obsessäes ou id‚ias obsessivas e as compulsäes ou rituais compulsivos.;Psychology;http://www.saudemental.net/transtorno_obsessivo_compulsivo.htm;44
39;naturally occurring;SetA;67;A esquizofrenia ‚ uma causa significativa de invalidez em todo o mundo. Ela afeta cerca de 1% da popula‡Æo.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/esquizofrenia;45
40;naturally occurring;SetA;69;No entanto, [a esquizofrenia] [...] ‚ fundamentalmente um problema biol¢gico[...] e nÆo ‚ causada por uma educa‡Æo inadequada pelos pais ou ambiente com doen‡as mentais.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/esquizofrenia;45
41;naturally occurring;SetA;70;Um gˆmeo cujo irmÆo gˆmeo tenha esquizofrenia tem um risco de 50% de desenvolver a doen‡a.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/esquizofrenia;45
42;naturally occurring;SetA;71;Os sintomas podem ser desencadeados ou agravados por eventos estressantes da vida, como perda de um emprego ou t‚rmino de uma rela‡Æo amorosa.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/esquizofrenia;45
43;naturally occurring;SetA;72;O risco de suic¡dio ‚ maior nas pessoas que desenvolveram esquizofrenia em uma idade mais avan‡ada e que vinham tendo um bom desempenho antes de ela de desenvolver.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/esquizofrenia;45
44;naturally occurring;SetA;73;Quanto antes o tratamento ‚ iniciado, melhor o resultado.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/esquizofrenia;45
45;naturally occurring;SetA;74;Sem tratamento com medicamentos, 70 a 80% das pessoas tˆm um novo epis¢dio durante o primeiro ano ap¢s o diagn¢stico.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/esquizofrenia;45
46;naturally occurring;SetA;75;A administra‡Æo cont¡nua de medicamentos pode reduzir essa porcentagem para cerca de 30% e pode diminuir significativamente os sintomas na maioria das pessoas.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/esquizofrenia;45
47;naturally occurring;SetA;76;Apenas aproximadamente 15% das pessoas com esquizofrenia conseguem ter o mesmo desempenho que tinham antes de a esquizofrenia se desenvolver.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/esquizofrenia;45
48;naturally occurring;SetA;79;"Tanto na endocardite infecciosa quanto na nÆo infecciosa, aglomerados de co gulos sangu¡neos (e bact‚rias na endocardite infecciosa) podem se desprender da parede do cora‡Æo (tornando-se ˆmbolos), viajar pela corrente sangu¡nea e obstruir uma art‚ria.

";Biology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-do-cora%C3%A7%C3%A3o-e-dos-vasos-sangu%C3%ADneos/endocardite/defini%C3%A7%C3%A3o-de-endocardite;47
49;naturally occurring;SetA;81;Transtorno da personalidade narcisista: [...] ‚ caracterizado por uma visÆo exagerada de si mesmo.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/transtornos-de-personalidade/transtornos-de-personalidade#v6580311_pt;49
50;naturally occurring;SetA;84;"O m‚dico diagnostica a fobia social quando a pessoa tem medo ou ansiedade com todas as caracter¡sticas a seguir: Ela ‚ intensa e tem durado seis meses ou mais; Diz respeito a uma ou mais situa‡äes sociais";Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/fobia-social;50
51;naturally occurring;SetA;85;Agorafobia ‚ ansiedade de estar preso em situa‡äes ou lugares dos quais nÆo h  nenhuma forma de escapar facilmente se surgirem ansiedade ou pƒnico.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/agorafobia;52
52;naturally occurring;SetA;86;Essas situa‡äes ou lugares sÆo com frequˆncia evitados ou suportados com muita ang£stia.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/agorafobia;52
53;naturally occurring;SetA;87;O transtorno de estresse agudo (TEA) ‚ um breve per¡odo de lembran‡as intrusivas que ocorre logo ap¢s um evento extremamente traum tico.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/transtorno-de-estresse-agudo-tea;53
54;naturally occurring;SetA;88;O transtorno de estresse p¢s-traum tico (TEPT) ‚ caracterizado por lembran‡as recorrentes e intrusivas de um evento extremamente traum tico.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/transtorno-do-estresse-p%C3%B3s-traum%C3%A1tico-tept;54
55;naturally occurring;SetA;89;Ele pode ser uma continua‡Æo do transtorno de estresse agudo ou desenvolver-se separadamente at‚ seis meses ap¢s o evento.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/transtorno-do-estresse-p%C3%B3s-traum%C3%A1tico-tept;54
56;naturally occurring;SetA;90;Muito menos frequentemente, as pessoas revivem os eventos como se eles estivessem realmente acontecendo (flashbacks) em vez de simplesmente se lembrarem deles.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/transtorno-do-estresse-p%C3%B3s-traum%C3%A1tico-tept;54
57;naturally occurring;SetA;91;Efeitos negativos sobre o pensamento e o humor: a pessoa pode nÆo conseguir se lembrar de partes significativas do evento traum tico (chamada).;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/transtorno-do-estresse-p%C3%B3s-traum%C3%A1tico-tept;54
58;naturally occurring;SetA;92;Na EMDR, as pessoas seguem o dedo do terapeuta em movimento com os olhos enquanto imaginam estar expostas ao trauma.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/transtorno-do-estresse-p%C3%B3s-traum%C3%A1tico-tept;54
59;naturally occurring;SetA;93;Esse transtorno pode se desenvolver em pessoas com o transtorno de personalidade paranoica.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/transtorno-delirante;55
60;naturally occurring;SetA;94;As pessoas com transtorno delirante tendem a ter um desempenho relativamente normal, exceto quando os del¡rios causam problemas.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/transtorno-delirante;55
61;naturally occurring;SetA;95;Depois de ter descartado outros quadros cl¡nicos espec¡ficos que podem causar os del¡rios [...], o m‚dico baseia o diagn¢stico, sobretudo, no hist¢rico e nos sintomas da pessoa.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/transtorno-delirante;55
62;naturally occurring;SetA;96;O m‚dico tamb‚m avalia quÆo perigosa a pessoa pode ser, especialmente qual a sua propensÆo de colocar em pr tica os del¡rios.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/transtorno-delirante;55
63;naturally occurring;SetA;98;A maioria das pessoas pode continuar a trabalhar.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/transtorno-delirante;55
64;naturally occurring;SetA;99;Tratamento: [‚] Criar um bom relacionamento entre o m‚dico e o paciente;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/esquizofrenia-e-transtorno-delirante/transtorno-delirante;55
65;naturally occurring;SetA;100;As preocupa‡äes sÆo de natureza geral, incluem v rios assuntos e, muitas vezes, saltam de um assunto para outro ao longo do tempo.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/transtorno-de-ansiedade-generalizada-tag;56
66;naturally occurring;SetA;101;Um ataque de pƒnico ‚ um per¡odo breve em que a pessoa sente ang£stia, ansiedade ou medo extremos, que tˆm in¡cio s£bito e sÆo acompanhados por sintomas f¡sicos e/ou emocionais.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/ataques-de-p%C3%A2nico-e-s%C3%ADndrome-do-p%C3%A2nico;57
67;naturally occurring;SetA;102;Aÿs¡ndrome do pƒnicoÿenvolve ataques de pƒnico espontƒneos que ocorrem de maneira repetida, preocupa‡Æo com ataques futuros e altera‡äes no comportamento para evitar situa‡äes que estÆo associadas com um ataque.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/ataques-de-p%C3%A2nico-e-s%C3%ADndrome-do-p%C3%A2nico;57
68;naturally occurring;SetA;104;[Podem ocorrer] Altera‡äes no comportamento devido aos ataques de pƒnico (por exemplo, evitar situa‡äes que poderiam causar um ataque);Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/ataques-de-p%C3%A2nico-e-s%C3%ADndrome-do-p%C3%A2nico;57
69;naturally occurring;SetA;105;Algumas pessoas se recuperam sem tratamento formal. Para outras, a s¡ndrome do pƒnico piora e melhora ao longo dos anos.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/ataques-de-p%C3%A2nico-e-s%C3%ADndrome-do-p%C3%A2nico;57
70;naturally occurring;SetA;106;Para algumas pessoas basta apenas incentiv -las a retornar e a permanecer nos locais em que elas tiveram ataques de pƒnico.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/ataques-de-p%C3%A2nico-e-s%C3%ADndrome-do-p%C3%A2nico;57
71;naturally occurring;SetA;107;Contudo, se a pessoa apresentou ataques frequentes e alterou seu comportamento para evitar ataques futuros, normalmente ‚ necess rio tratamento com medicamentos e psicoterapia.;Psychology;https://www.msdmanuals.com/pt/casa/dist%C3%BArbios-de-sa%C3%BAde-mental/ansiedade-e-transtornos-relacionados-ao-estresse/ataques-de-p%C3%A2nico-e-s%C3%ADndrome-do-p%C3%A2nico;57
72;naturally occurring;SetA;110;Naÿimunidade adquirida (adaptativa ou espec¡fica)ÿ(ÿImunidade adquirida), os linf¢citos (c‚lulas B e c‚lulas T) se deparam com um invasor, aprendem a atac -lo, e lembram do invasor espec¡fico de forma que possam atac -lo de forma ainda mais eficaz no pr¢ximo encontro.ÿ;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/biologia-do-sistema-imunol%C3%B3gico/considera%C3%A7%C3%B5es-gerais-sobre-o-sistema-imunol%C3%B3gico;59
73;naturally occurring;SetA;111;Os fag¢citos ingerem os invasores.;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/biologia-do-sistema-imunol%C3%B3gico/considera%C3%A7%C3%B5es-gerais-sobre-o-sistema-imunol%C3%B3gico;59
74;naturally occurring;SetA;113;Ap¢s o invasor ser eliminado, a maioria dos gl¢bulos brancos se autodestroem e sÆo ingeridos.;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/biologia-do-sistema-imunol%C3%B3gico/considera%C3%A7%C3%B5es-gerais-sobre-o-sistema-imunol%C3%B3gico;59
75;naturally occurring;SetA;114;As pessoas normalmente apresentam infec‡äes frequentes, at¡picas ou incomumente graves ou prolongadas e podem desenvolver uma doen‡a autoimune ou cƒncer.;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/doen%C3%A7as-decorrentes-de-imunodefici%C3%AAncia/vis%C3%A3o-geral-de-imunodefici%C3%AAncias;60
76;naturally occurring;SetA;116;Aÿdesnutri‡Æo, que ‚ comum em idosos, compromete o sistema imunol¢gico.;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/doen%C3%A7as-decorrentes-de-imunodefici%C3%AAncia/vis%C3%A3o-geral-de-imunodefici%C3%AAncias;60
77;naturally occurring;SetA;117;A ataxia-telangiectasia ‚ uma doen‡a heredit ria caracterizada por descoordena‡Æo motora, dilata‡Æo capilar e uma imunodeficiˆncia que causa uma suscetibilidade aumentada …s infec‡äes.;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/doen%C3%A7as-decorrentes-de-imunodefici%C3%AAncia/ataxia-telangiectasia;61
78;naturally occurring;SetA;119;As concentra‡äes de alguns tipos (classes) deÿanticorposÿ(imunoglobulinas) ? IgA e IgE ? sÆo frequentemente baixas.;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/doen%C3%A7as-decorrentes-de-imunodefici%C3%AAncia/ataxia-telangiectasia;61
79;naturally occurring;SetA;121;O sistema end¢crino pode ser afetado, originando test¡culos pequenos (nos rapazes), infertilidade e diabetes.;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/doen%C3%A7as-decorrentes-de-imunodefici%C3%AAncia/ataxia-telangiectasia;61
80;naturally occurring;SetA;122;As infec‡äes pulmonares e dos seios nasais reaparecem, provocando frequentemente pneumonias e doen‡as pulmonares cr“nicas, como a bronquiectasia (alargamento irrevers¡vel devido … inflama‡Æo cr“nica das vias a‚reas).;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/doen%C3%A7as-decorrentes-de-imunodefici%C3%AAncia/ataxia-telangiectasia;61
81;naturally occurring;SetA;123;Caso os m‚dicos suspeitem de alguma doen‡a end¢crina ou cƒncer com base nos resultados de seu exame, sÆo efetuados testes para confirmar esses dist£rbios.;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/doen%C3%A7as-decorrentes-de-imunodefici%C3%AAncia/ataxia-telangiectasia;61
82;naturally occurring;SetA;124;Para ajudar a evitar infec‡äes, os m‚dicos administram antibi¢ticos e imunoglobulinas (anticorpos obtidos do sangue de pessoas com um sistema imunol¢gico normal), que ajudam a suprir as imunoglobulinas que estÆo faltando.;Biology;https://www.msdmanuals.com/pt/casa/doen%C3%A7as-imunol%C3%B3gicas/doen%C3%A7as-decorrentes-de-imunodefici%C3%AAncia/ataxia-telangiectasia;61
83;naturally occurring;SetA;125;AÿreflexÆo da luzÿ‚ um fen“meno ¢ptico que ocorre quando a luz incide sobre uma superf¡cie e retorna ao seu meio de origem.ÿ;Physics;https://mundoeducacao.bol.uol.com.br/fisica/reflexao-luz.htm;62
84;naturally occurring;SetA;126;Condu‡Æo: ‚ a transferˆncia de energia que ocorre de mol‚cula a mol‚cula em razÆo da agita‡Æo delas;Physics;http://brasilescola.uol.com.br/fisica/dilatacao-termica-calorimetria.htm;0
85;naturally occurring;SetA;127;Para entender melhor esse processo de transferˆncia de calor, imagine a seguinte situa‡Æo: segurando uma barra de ferro em uma das suas extremidades e colocando a outra ponta sobre uma chama, ela come‡ar  a aquecer.ÿ ;Physics;https://mundoeducacao.bol.uol.com.br/fisica/radiacao-conducao-conveccao.htm;64
86;naturally occurring;SetA;128;Primeiramente, a parte que est  sobre o fogo ter  sua temperatura elevada, pois a chama est  transferindo energia para a barra. As mol‚culas que a constituem come‡arÆo a ficar agitadas e chocar-se-Æo com as outras que nÆo estÆo em contato com o fogo. Essa agita‡Æo ser  transmitida de mol‚cula para mol‚cula at‚ que todo o objeto fique aquecido. ;Physics;https://mundoeducacao.bol.uol.com.br/fisica/radiacao-conducao-conveccao.htm;64
87;naturally occurring;SetA;129;A condu‡Æo t‚rmica depende do material utilizado, visto que alguns conduzem mais energia t‚rmica que outros. ;Physics;https://www.todamateria.com.br/conducao-termica/;65
88;naturally occurring;SetA;130;Esse processo ‚ mais eficiente em materiais como os metais, que sÆo bons condutores de calor. ;Physics;https://mundoeducacao.bol.uol.com.br/fisica/radiacao-conducao-conveccao.htm;64
89;naturally occurring;SetA;131;J  nas substƒncias isolantes, como na borracha e na lÆ, esse processo ‚ muito lento. ;Physics;http://meuartigo.brasilescola.uol.com.br/fisica/conducao-conveccao-irradiacao.htm;66
90;naturally occurring;SetA;132;Por fim, h  aÿconvec‡Æo,ÿque ‚ a forma de transferˆncia de calorÿcomum para os gases e l¡quidos. ;Physics;https://mundoeducacao.bol.uol.com.br/fisica/radiacao-conducao-conveccao.htm;64
91;naturally occurring;SetA;133;Convec‡Æo: esse ‚ o processo que ocorre nos fluidos (l¡quidos, gases e vapores) em razÆo das diferen‡as na densidade dos fluidos envolvidos no sistema.;Physics;https://mundoeducacao.bol.uol.com.br/fisica/transmissao-energia-termica.htm;67
92;naturally occurring;SetA;134;Por exemplo: na geladeira os alimentos sÆo resfriados dessa forma.ÿ ;Physics;http://meuartigo.brasilescola.uol.com.br/fisica/conducao-conveccao-irradiacao.htm;66
93;naturally occurring;SetA;135;Como sabemos, o ar quente ‚ menos denso que o ar frio e ‚ por esse motivo que o congelador fica na parte de cima da geladeira. ;Physics;http://meuartigo.brasilescola.uol.com.br/fisica/conducao-conveccao-irradiacao.htm;66
94;naturally occurring;SetA;136;A irradia‡Æo ‚ o processo de transferˆncia de calor atrav‚s de ondas eletromagn‚ticas, chamadas ondas de calor ou calor radiante.;Physics;http://www.if.ufrgs.br/mpef/mef008/mef008_02/Beatriz/irradiacao.htm;68
